co2,expireAt._nanoseconds,expireAt._seconds,humidity,iaqi.e_score,iaqi.i_score,iaqi.m_score,iaqi.primary_grade,iaqi.sub_level,iaqiScore,k,macAddress,nox,pm25,temp,timestamp._nanoseconds,timestamp._seconds,tvoc
896.6666870117188,3000000,1778555093,41.62049102783203,,0.395,0.742,보통,,0.742,,d83bda1d5960,1,6.833333492279053,25.034713745117188,93000000,1775963093,161.9166717529297
898,647000000,1778555098,41.6004638671875,,0.396,0.745,보통,,0.745,,d83bda1d5960,1,6.833333492279053,25.04405975341797,737000000,1775963098,163.6666717529297
899,683000000,1778555104,41.611907958984375,,0.397,0.748,보통,,0.748,,d83bda1d5960,1,7,25.045394897460938,774000000,1775963104,165.1666717529297
900.3333129882812,769000000,1778555112,41.631935119628906,,0.397,0.751,보통,,0.751,,d83bda1d5960,1,6.833333492279053,25.017356872558594,862000000,1775963112,166.4166717529297
902,584000000,1778555118,41.64051818847656,,0.398,0.755,보통,,0.755,,d83bda1d5960,1,7,25.00934600830078,674000000,1775963118,167.5
904,563000000,1778555124,41.692020416259766,,0.398,0.76,보통,,0.76,,d83bda1d5960,1,7,25.026702880859375,653000000,1775963124,168.3333282470703
906.3333129882812,713000000,1778555130,41.70918655395508,,0.399,0.766,보통,,0.766,,d83bda1d5960,1,7,25.016021728515625,804000000,1775963130,168.9166717529297
908.3333129882812,479000000,1778555137,41.69010925292969,,0.4,0.771,보통,,0.771,,d83bda1d5960,1,7,25.01201629638672,571000000,1775963137,169.5
910.6666870117188,104000000,1778555144,41.69964599609375,,0.402,0.777,보통,,0.777,,d83bda1d5960,1,7.333333492279053,25.028038024902344,197000000,1775963144,169.9166717529297
912.3333129882812,244000000,1778555149,41.71204376220703,,0.402,0.781,보통,,0.781,,d83bda1d5960,1,7.666666507720947,25.04138946533203,334000000,1775963149,170.1666717529297
914,986000000,1778555155,41.73207473754883,,0.403,0.785,보통,,0.785,,d83bda1d5960,1,7.333333492279053,25.046730041503906,77000000,1775963156,170.3333282470703
915,553000000,1778555163,41.73398208618164,,0.404,0.788,보통,,0.788,,d83bda1d5960,1,7.166666507720947,25.046730041503906,644000000,1775963163,170.3333282470703
916,62000000,1778555169,41.71967315673828,,0.405,0.79,보통,,0.79,,d83bda1d5960,1,7.333333492279053,25.037384033203125,152000000,1775963169,170.3333282470703
917.6666870117188,82000000,1778555175,41.718719482421875,,0.406,0.794,보통,,0.794,,d83bda1d5960,1,7.333333492279053,25.013351440429688,175000000,1775963175,170.3333282470703
919.3333129882812,185000000,1778555181,41.74447250366211,,0.406,0.798,보통,,0.798,,d83bda1d5960,1,7.166666507720947,25.002670288085938,275000000,1775963181,170.3333282470703
921.3333129882812,45000000,1778555187,41.7730827331543,,0.407,0.803,보통,,0.803,,d83bda1d5960,1,6.833333492279053,25.02269744873047,139000000,1775963187,170.4166717529297
922.6666870117188,168000000,1778555193,41.759727478027344,,0.408,0.807,보통,,0.807,,d83bda1d5960,1,7,25.017356872558594,259000000,1775963193,170.5
924,149000000,1778555199,41.74256134033203,,0.409,0.81,보통,,0.81,,d83bda1d5960,1,7.166666507720947,25.01068115234375,238000000,1775963199,170.5833282470703
925,890000000,1778555205,41.759727478027344,,0.409,0.813,보통,,0.813,,d83bda1d5960,1,6.833333492279053,25.018692016601562,980000000,1775963205,170.6666717529297
925.6666870117188,164000000,1778555211,41.784523010253906,,0.409,0.814,보통,,0.814,,d83bda1d5960,1,6.666666507720947,25.016021728515625,254000000,1775963211,170.6666717529297
926,566000000,1778555218,41.79119873046875,,0.409,0.815,보통,,0.815,,d83bda1d5960,1,6.666666507720947,25.01068115234375,657000000,1775963218,170.6666717529297
925.6666870117188,26000000,1778555224,41.805503845214844,,0.408,0.814,보통,,0.814,,d83bda1d5960,1,6.833333492279053,25.025367736816406,116000000,1775963224,170.6666717529297
925.3333129882812,4000000,1778555230,41.805503845214844,,0.408,0.813,보통,,0.813,,d83bda1d5960,1,7,25.048065185546875,94000000,1775963230,170.6666717529297
